date,id
2020-04-27 00:00:00+00:00,69
2020-04-28 00:00:00+00:00,1658
2020-04-29 00:00:00+00:00,9653
2020-04-30 00:00:00+00:00,1857
2020-05-01 00:00:00+00:00,403
2020-05-02 00:00:00+00:00,342
2020-05-03 00:00:00+00:00,122
2020-05-04 00:00:00+00:00,128
2020-05-05 00:00:00+00:00,183
2020-05-06 00:00:00+00:00,529
2020-05-07 00:00:00+00:00,278
2020-05-08 00:00:00+00:00,154
2020-05-09 00:00:00+00:00,214
2020-05-10 00:00:00+00:00,296
2020-05-11 00:00:00+00:00,60
2020-05-12 00:00:00+00:00,165
2020-05-13 00:00:00+00:00,383
2020-05-14 00:00:00+00:00,0
2020-05-15 00:00:00+00:00,303
2020-05-16 00:00:00+00:00,116
2020-05-17 00:00:00+00:00,327
2020-05-18 00:00:00+00:00,494
2020-05-19 00:00:00+00:00,213
2020-05-20 00:00:00+00:00,71
2020-05-21 00:00:00+00:00,59
2020-05-22 00:00:00+00:00,114
2020-05-23 00:00:00+00:00,92
2020-05-24 00:00:00+00:00,88
2020-05-25 00:00:00+00:00,122
2020-05-26 00:00:00+00:00,72
2020-05-27 00:00:00+00:00,656
2020-05-28 00:00:00+00:00,73
2020-05-29 00:00:00+00:00,121
2020-05-30 00:00:00+00:00,105
2020-05-31 00:00:00+00:00,80
2020-06-01 00:00:00+00:00,329
2020-06-02 00:00:00+00:00,77
2020-06-03 00:00:00+00:00,83
2020-06-04 00:00:00+00:00,152
2020-06-05 00:00:00+00:00,67
2020-06-06 00:00:00+00:00,67
2020-06-07 00:00:00+00:00,83
2020-06-08 00:00:00+00:00,228
2020-06-09 00:00:00+00:00,392
2020-06-10 00:00:00+00:00,5318
2020-06-11 00:00:00+00:00,2370
2020-06-12 00:00:00+00:00,522
2020-06-13 00:00:00+00:00,272
2020-06-14 00:00:00+00:00,248
2020-06-15 00:00:00+00:00,319
2020-06-16 00:00:00+00:00,200
2020-06-17 00:00:00+00:00,197
2020-06-18 00:00:00+00:00,95
2020-06-19 00:00:00+00:00,99
2020-06-20 00:00:00+00:00,596
2020-06-21 00:00:00+00:00,431
2020-06-22 00:00:00+00:00,134
2020-06-23 00:00:00+00:00,532
2020-06-24 00:00:00+00:00,318
2020-06-25 00:00:00+00:00,285
2020-06-26 00:00:00+00:00,159
2020-06-27 00:00:00+00:00,73
2020-06-28 00:00:00+00:00,314
2020-06-29 00:00:00+00:00,125
2020-06-30 00:00:00+00:00,114
2020-07-01 00:00:00+00:00,113
2020-07-02 00:00:00+00:00,75
2020-07-03 00:00:00+00:00,55
2020-07-04 00:00:00+00:00,44
2020-07-05 00:00:00+00:00,122
2020-07-06 00:00:00+00:00,248
2020-07-07 00:00:00+00:00,2407
2020-07-08 00:00:00+00:00,912
2020-07-09 00:00:00+00:00,188
2020-07-10 00:00:00+00:00,248
2020-07-11 00:00:00+00:00,106
2020-07-12 00:00:00+00:00,73
2020-07-13 00:00:00+00:00,906
2020-07-14 00:00:00+00:00,2991
2020-07-15 00:00:00+00:00,1080
2020-07-16 00:00:00+00:00,174
